ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO
822796,914,TER,LJUBNO,1539/3,5,,,1/1,,48,,,489008.44,133488.8,2024
822817,2626,IZOLA,IZOLA,3219,5,,,1/2,,4077,,,394962.86,43755.78,2024
822819,2455,SEŽANA,SEŽANA,6171/12,5,,,1/1,,898,,,412486.32,63957.02,2024
822819,2455,SEŽANA,SEŽANA,6171/13,5,,,1/1,,55,,,412496.08,63950.81,2024
823267,1997,BLATNA BREZOVICA,VRHNIKA,2508/4,7,,,1/1,,131,,,448145.98,93156.73,2024
823267,1997,BLATNA BREZOVICA,VRHNIKA,2508/2,7,,,1/1,,276,,,448160.87,93121.74,2024
823267,1997,BLATNA BREZOVICA,VRHNIKA,2508/5,7,,,1/1,,77,,,448140.73,93169.46,2024
823268,520,BENEDIKT,BENEDIKT,505/18,3,,,1/1,,685,,,568192.47,163287.9,2024
823268,520,BENEDIKT,BENEDIKT,505/36,3,,,1/1,,645,,,568167.79,163329.09,2024
823285,442,SKRBLJE,MAJŠPERK,495/3,7,,,1/1,,118,,,557296.67,132156.54,2024
822459,455,ZAKL,PODLEHNIK,90/9,5,,,1/1,,640,,,567484.61,131874.53,2024
822459,455,ZAKL,PODLEHNIK,90/17,6,,,1/1,,76,,,567497.34,131868.11,2024
822460,315,PAVLOVSKI VRH,ORMOŽ,134/2,8,1,14,1/1,,240,,,590900.53,144840.2,2024
822460,315,PAVLOVSKI VRH,ORMOŽ,135/2,8,1,14,1/1,,1466,,,590847.85,144852.36,2024
822477,2018,LAZE,LOGATEC,943/90,9,,,1/1,,1840,,,442808.34,81125.26,2024
822483,2623,BORŠT,KOPER,3096,5,,,1/1,,102,,,403970.66,38108.18,2024
822483,2623,BORŠT,KOPER,3098,5,,,1/1,,65,,,403964.1,38090.62,2024
822492,381,TIBOLCI,GORIŠNICA,716/2,7,,,1/1,,1198,,,577160.81,143762.12,2024
822493,43,KOVAČEVCI,GRAD,678,7,,,1/1,,4769,,,585427.56,182870.69,2024
823297,1871,TRBOVLJE,TRBOVLJE,887/99,5,,,1/1,,21,,,503744.53,112009.62,2024
823297,1871,TRBOVLJE,TRBOVLJE,887/98,5,,,1/1,,279,,,503749.12,112011.18,2024
823297,1871,TRBOVLJE,TRBOVLJE,887/100,5,,,1/1,,100,,,503742.24,111996.16,2024
823302,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,601/5,7,,,1/1,,14774,,,463487.51,96472.43,2024
823305,248,PRECETINCI,LJUTOMER,301/7,3,,,1/1,,124,,,583242.89,155853.04,2024
823305,248,PRECETINCI,LJUTOMER,301/9,3,,,1/1,,16,,,583237.41,155859.7,2024
823305,248,PRECETINCI,LJUTOMER,301/3,3,,,1/1,,121,,,583235.07,155868.07,2024
823305,248,PRECETINCI,LJUTOMER,301/1,5,,,1/1,,1057,,,583237.23,155842.43,2024
823305,248,PRECETINCI,LJUTOMER,301/4,3,,,1/1,,214,,,583231.28,155857.76,2024
823314,1652,RAKITNA,BREZOVICA,1687/4,5,,,1/1,,230,,,456344.9,83668.72,2024
823339,716,RAČE,RAČE-FRAM,3037/3,5,,,1/1,,122,,,552595.41,145548.31,2024
823343,2637,PRIHODI,JESENICE,271/29,5,,,1/1,,362,,,427975.88,144698.62,2024
822527,1292,GABRJE,BREŽICE,789/3,3,,,1/1,,111,,,551232.78,84358.19,2024
822527,1292,GABRJE,BREŽICE,831/9,3,,,1/1,,17,,,551228.95,84352.52,2024
822551,2178,KOROŠKA BELA,JESENICE,191/3,3,,,1/128,,138,,,431000.6,143588.64,2024
822551,2178,KOROŠKA BELA,JESENICE,570,9,,,1/128,,1259,,,431322.66,142456.5,2024
822551,2177,JAVORNIŠKI ROVT,JESENICE,288/16,9,,,1/128,,123,,,430678.15,146441.32,2024
822551,2178,KOROŠKA BELA,JESENICE,597/234,9,,,1/128,,16158,,,430488.03,144332.84,2024
822551,2178,KOROŠKA BELA,JESENICE,661,9,,,1/128,,3205,,,430789.78,147400.66,2024
822551,2178,KOROŠKA BELA,JESENICE,655,9,,,1/128,,8664,,,430880.41,147323.56,2024
822551,2177,JAVORNIŠKI ROVT,JESENICE,288/3,9,,,1/128,,3950,,,430825.43,146707.58,2024
822551,2178,KOROŠKA BELA,JESENICE,597/465,9,,,1/128,,21187,,,431671.52,146429.55,2024
822551,2178,KOROŠKA BELA,JESENICE,597/466,9,,,1/128,,508,,,431739.52,146437.28,2024
822551,2178,KOROŠKA BELA,JESENICE,227/2,7,,,1/128,,134,,,431100.06,143140,2024
822551,2178,KOROŠKA BELA,JESENICE,204,7,,,1/128,,1514,,,431092.07,143491.32,2024
822551,2178,KOROŠKA BELA,JESENICE,662,9,,,1/128,,18134,,,430824.26,147467.05,2024
822551,2178,KOROŠKA BELA,JESENICE,168,5,,,1/128,,1148,,,430978.97,143610.39,2024
822551,2177,JAVORNIŠKI ROVT,JESENICE,288/11,9,,,1/128,,81,,,430676.97,146425.71,2024
822551,2178,KOROŠKA BELA,JESENICE,571,9,,,1/128,,2532,,,431339.51,142494.94,2024
822551,2178,KOROŠKA BELA,JESENICE,591/10,7,,,1/128,,5702,,,431160.12,143145.38,2024
822551,2177,JAVORNIŠKI ROVT,JESENICE,288/5,9,,,1/128,,12479,,,430720.92,146388.46,2024
886921,389,NOVA VAS PRI PTUJU,PTUJ,201/14,5,,,1/1,,699,,,568154.92,144504.45,2024
886923,2560,HRPELJE,HRPELJE-KOZINA,*157/2,5,,,1/1,,52,,,416992.43,52638.97,2024
886923,2560,HRPELJE,HRPELJE-KOZINA,*247,5,,,1/1,,327,,,417005.29,52634.24,2024
886939,1748,SKARUČNA,VODICE,5/8,1,,,1/1,,545,,,460077.06,112357.22,2024
886939,1748,SKARUČNA,VODICE,5/14,1,,,1/1,,280,,,460082.82,112385.55,2024
886953,1525,ČREŠNJEVEC,SEMIČ,1252,7,,,1/1,,227,,,519229.16,58280.1,2024
886954,1541,LOKA,ČRNOMELJ,1166/5,5,,,1/1,,558,,,514794.61,47510.03,2024
886954,1541,LOKA,ČRNOMELJ,2421/5,5,,,1/1,,53,,,514788.8,47528.59,2024
886968,478,PARADIŽ,CIRKULANE,*76,5,,,1/24,,25,,,576312.95,133138.99,2024
886968,478,PARADIŽ,CIRKULANE,432,9,,,1/24,,182,,,576308.68,133150.11,2024
886968,478,PARADIŽ,CIRKULANE,433/2,7,,,1/24,,2365,,,576281.83,133171.33,2024
886968,478,PARADIŽ,CIRKULANE,439/2,7,,,1/24,,1695,,,576445.66,133106.22,2024
886968,478,PARADIŽ,CIRKULANE,434,7,,,1/24,,805,,,576261.72,133187.1,2024
886968,478,PARADIŽ,CIRKULANE,374/1,7,,,1/24,,94,,,576243.44,133149.41,2024
886968,478,PARADIŽ,CIRKULANE,*75/2,5,,,1/24,,58,,,576279.13,133133.17,2024
886968,478,PARADIŽ,CIRKULANE,440/2,9,,,1/24,,2305,,,576417.86,133083.72,2024
886968,478,PARADIŽ,CIRKULANE,440/1,9,,,1/24,,562,,,576385.15,133077.57,2024
886968,478,PARADIŽ,CIRKULANE,433/3,7,,,1/24,,5868,,,576380.03,133120.9,2024
886968,478,PARADIŽ,CIRKULANE,442,7,,,1/24,,2412,,,576308.53,133117.68,2024
886968,478,PARADIŽ,CIRKULANE,441/2,3,,,1/24,,662,,,576286.75,133133.6,2024
886968,478,PARADIŽ,CIRKULANE,441/1,3,,,1/24,,234,,,576255.05,133130.38,2024
886968,478,PARADIŽ,CIRKULANE,331/4,7,,,1/24,,686,,,576312.22,133197.88,2024
886977,2415,KOBJEGLAVA,KOMEN,1845/1,5,,,1/1,,227,,,407586.55,75878.16,2024
886977,2415,KOBJEGLAVA,KOMEN,1845/2,5,,,1/1,,72,,,407573.99,75877.2,2024
886977,2415,KOBJEGLAVA,KOMEN,1907/43,5,,,1/1,,2536,,,407554,75861.87,2024
886980,2455,SEŽANA,SEŽANA,6516,5,,,1/1,,16,,,411603.87,63369.11,2024
887006,1994,DOBROVA,DOBROVA-POLHOV GRADEC,503/14,6,,,1/1,,58,,,450166.51,99421.12,2024
887006,1994,DOBROVA,DOBROVA-POLHOV GRADEC,503/15,6,,,1/1,,17,,,450164.02,99421.88,2024
887006,1994,DOBROVA,DOBROVA-POLHOV GRADEC,503/7,3,,,1/1,,1187,,,450141.3,99451.16,2024
887027,1515,METLIKA,METLIKA,2010/4,5,,,1/1,,59,,,525036.25,57274.21,2024
887034,2309,ŠMIHEL,NOVA GORICA,4468/3,7,,,1/1,,71,,,399983.37,90592.93,2024
