ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
392665,1,11.09.2018,20.06.2018,,0,,,,,0,15.04.2025,02.07.2024,1,1,2024
884118,1,19.11.2024,27.06.2024,21825,0,,,,,,15.04.2025,19.11.2024,1,2,2024
809564,1,17.01.2024,20.11.2023,25000,0,,,,,,15.04.2025,17.01.2024,1,2,2024
829155,2,15.08.2024,09.07.2024,12105,0,,,,,,15.04.2025,15.08.2024,1,2,2024
885734,1,16.12.2024,21.10.2024,355000,0,,,,,,15.04.2025,16.12.2024,1,1,2024
809546,1,17.01.2024,29.11.2023,515000,0,,,,,,15.04.2025,17.01.2024,1,2,2024
819758,1,15.05.2024,25.03.2024,600,0,,,,,,15.04.2025,15.05.2024,1,2,2024
825400,2,16.07.2024,29.05.2024,87600,0,,,,,,15.04.2025,16.07.2024,1,1,2024
811695,1,15.02.2024,22.12.2023,300000,0,,,,,,15.04.2025,15.02.2024,1,2,2024
830984,1,09.09.2024,29.07.2024,15355.31,0,,,,,,15.04.2025,09.09.2024,1,3,2024
884094,1,19.11.2024,16.10.2024,9200,0,,,,,,15.04.2025,19.11.2024,1,3,2024
809478,1,17.01.2024,24.11.2023,62400,0,,,,,,15.04.2025,17.01.2024,1,2,2024
833135,1,10.10.2024,26.03.2024,226275.22,1,3,,,,,15.04.2025,10.10.2024,1,1,2024
814374,1,15.03.2024,03.01.2024,1766.5,0,,,,,,15.04.2025,15.03.2024,1,2,2024
818036,1,15.04.2024,12.03.2024,365000,0,,,,,,15.04.2025,15.04.2024,1,2,2024
