ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
676787,1,10.12.2022,08.11.2022,3248,0,,,,,,15.04.2025,10.12.2022,1,2,2022
657308,4,10.07.2022,30.05.2022,10000,0,,,,,,10.07.2022,10.07.2022,1,4,2022
638529,1,10.02.2022,11.01.2022,59000,0,,,,,,15.04.2025,10.02.2022,1,5,2022
667749,1,29.09.2022,04.08.2022,12054,1,3,,,PARKIRNO MESTO,,15.04.2025,29.09.2022,1,2,2022
672420,1,10.11.2022,28.09.2022,95750,0,,,,,,15.04.2025,10.11.2022,1,2,2022
666421,1,11.09.2022,26.06.2022,1500,0,,,,,,15.04.2025,11.09.2022,1,2,2022
645183,1,10.04.2022,05.05.2021,15000,0,,,,,,15.04.2025,10.04.2022,1,1,2022
644817,1,10.04.2022,15.12.2021,1300,0,,,,,,15.04.2025,10.04.2022,1,1,2022
651488,3,11.05.2022,21.02.2022,770,0,,,,,,15.04.2025,11.05.2022,1,3,2022
676025,1,10.12.2022,10.10.2022,1824,0,,,,,,15.04.2025,10.12.2022,1,2,2022
670265,1,10.10.2022,13.09.2022,3100,0,,,,,,15.04.2025,10.10.2022,1,3,2022
658200,1,10.07.2022,01.06.2022,25000,0,,,,,,15.04.2025,10.07.2022,1,4,2022
641105,1,10.03.2022,25.01.2022,129000,0,,,,,,15.04.2025,10.03.2022,1,2,2022
644883,1,10.04.2022,17.02.2022,311000,0,,,,,,15.04.2025,10.04.2022,1,2,2022
637858,1,10.02.2022,31.12.2021,140000,0,,,,,,15.04.2025,10.02.2022,1,2,2022
659407,1,11.07.2022,15.06.2022,103000,0,,,,,,15.04.2025,11.07.2022,1,2,2022
666271,1,10.09.2022,04.07.2022,1000,0,,,,,,15.04.2025,10.09.2022,1,2,2022
654940,1,11.06.2022,25.04.2022,4170.63,0,,,,,,15.04.2025,11.06.2022,1,3,2022
655155,1,11.06.2022,19.05.2022,120000,0,,,,,,15.04.2025,11.06.2022,1,2,2022
657939,1,10.07.2022,26.05.2022,65000,0,,,,,,15.04.2025,10.07.2022,1,2,2022
665469,1,10.09.2022,04.08.2022,4000,0,,,,,,15.04.2025,10.09.2022,1,1,2022
649369,1,10.05.2022,21.03.2022,27000,0,,,,,,15.04.2025,10.05.2022,1,1,2022
654480,1,10.06.2022,21.04.2022,1800,0,,,,,,15.04.2025,10.06.2022,1,4,2022
657445,1,10.07.2022,17.05.2022,8000,0,,,,,,15.04.2025,10.07.2022,1,2,2022
674914,1,24.11.2022,07.06.2022,121000,1,3,,,,,15.04.2025,24.11.2022,1,2,2022
646643,1,11.04.2022,14.03.2022,260,0,,,,,,15.04.2025,11.04.2022,1,3,2022
640795,1,10.03.2022,24.01.2022,5000,0,,,,,,15.04.2025,10.03.2022,1,2,2022
675999,1,10.12.2022,21.09.2022,45000,0,,,,,,15.04.2025,10.12.2022,1,2,2022
650873,1,11.05.2022,13.04.2022,90000,0,,,,,,15.04.2025,11.05.2022,1,2,2022
638738,1,10.02.2022,13.01.2022,49000,0,,,,,,15.04.2025,10.02.2022,1,2,2022
672006,1,10.11.2022,22.09.2022,50000,0,,,,,,15.04.2025,10.11.2022,1,2,2022
664775,1,10.09.2022,25.07.2022,80000,0,,,,,,15.04.2025,10.09.2022,1,2,2022
664917,1,10.09.2022,22.06.2022,2500,0,,,,,,15.04.2025,10.09.2022,1,2,2022
656623,1,10.07.2022,26.04.2022,10000,0,,,,,,15.04.2025,10.07.2022,1,2,2022
664980,1,10.09.2022,15.06.2022,7000,0,,,,,,15.04.2025,10.09.2022,1,2,2022
649274,1,10.05.2022,29.03.2022,30000,0,,,,,,15.04.2025,10.05.2022,1,2,2022
638739,1,10.02.2022,13.01.2022,95000,0,,,,,,15.04.2025,10.02.2022,1,2,2022
663354,1,11.08.2022,06.07.2022,520,0,,,,,,15.04.2025,11.08.2022,1,2,2022
672094,1,10.11.2022,15.06.2022,1700,0,,,,,,15.04.2025,10.11.2022,1,2,2022
634790,1,11.01.2022,20.11.2021,14250,0,,,,,,15.04.2025,11.01.2022,1,2,2022
633553,1,10.01.2022,22.10.2021,4600,0,,,,,,15.04.2025,10.01.2022,1,3,2022
666335,1,10.09.2022,09.08.2022,50000,0,,,,,,15.04.2025,10.09.2022,1,3,2022
666660,1,11.09.2022,23.08.2022,219200,0,,,,,,15.04.2025,11.09.2022,1,2,2022
