ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
545984,1,11.07.2021,21.04.2021,650,0,,,,,,15.04.2025,11.07.2021,1,1,2021
544242,1,10.07.2021,05.05.2021,19000,0,,,,,,15.04.2025,10.07.2021,1,2,2021
556549,1,08.10.2021,08.10.2021,245000,1,5,,,,,08.10.2021,08.10.2021,1,5,2021
525580,1,10.02.2021,06.11.2020,3000,0,,,,,,15.04.2025,10.02.2021,1,1,2021
524313,1,14.01.2021,20.11.2020,17047.6,0,,,,,,15.04.2025,14.01.2021,1,1,2021
559486,1,11.10.2021,15.09.2021,90000,0,,,,,,15.04.2025,11.10.2021,1,2,2021
630205,2,10.12.2021,23.09.2021,12500,0,,,,,,15.04.2025,10.12.2021,1,3,2021
536321,1,10.05.2021,15.03.2021,1577,0,,,,,,15.04.2025,10.05.2021,1,1,2021
545300,1,10.07.2021,21.05.2021,160000,0,,,,,,15.04.2025,10.07.2021,1,2,2021
542434,1,11.06.2021,14.05.2021,225000,0,,,,,,15.04.2025,11.06.2021,1,2,2021
630509,1,11.12.2021,09.11.2021,14476,0,,,,,,15.04.2025,11.12.2021,1,3,2021
533053,1,10.04.2021,17.02.2021,6739.2,0,,,,,,15.04.2025,10.04.2021,1,1,2021
526898,1,10.02.2021,22.12.2020,80100,0,,,,,,15.04.2025,10.02.2021,1,2,2021
538964,1,25.05.2021,12.05.2021,291234.56,1,3,,,,,15.04.2025,25.05.2021,1,2,2021
536557,1,10.05.2021,23.03.2021,23500,0,,,,,,15.04.2025,10.05.2021,1,2,2021
525841,1,10.02.2021,11.12.2020,750000,0,,,,,,15.04.2025,10.02.2021,1,2,2021
552002,1,12.08.2021,15.07.2021,277200,0,,,,,,15.04.2025,12.08.2021,1,2,2021
546466,1,11.07.2021,08.06.2021,50000,0,,,,,,15.04.2025,11.07.2021,1,2,2021
630547,1,11.12.2021,08.11.2021,100000,0,,,,,,15.04.2025,11.12.2021,1,2,2021
535425,1,10.05.2021,08.12.2020,13080,0,,,,,,15.04.2025,10.05.2021,1,1,2021
552006,1,12.08.2021,17.06.2021,1500,0,,,,,,15.04.2025,12.08.2021,1,4,2021
581620,1,10.11.2021,15.09.2021,41000,0,,,,,,15.04.2025,10.11.2021,1,2,2021
629593,1,10.12.2021,04.11.2021,3000,0,,,,,,15.04.2025,10.12.2021,1,1,2021
544454,1,10.07.2021,19.05.2021,19500,0,,,,,,15.04.2025,10.07.2021,1,2,2021
527843,1,11.02.2021,14.07.2020,22000,0,,,,,,15.04.2025,11.02.2021,1,2,2021
525693,1,10.02.2021,10.12.2020,5500,0,,,,,,15.04.2025,10.02.2021,1,2,2021
630147,3,10.12.2021,18.10.2021,13404.05,0,,,,,,15.04.2025,10.12.2021,1,3,2021
526974,1,10.02.2021,04.01.2021,161000,0,,,,,,15.04.2025,10.02.2021,1,2,2021
521705,1,06.01.2021,13.11.2020,83970.08,1,3,,,,,15.04.2025,06.01.2021,1,2,2021
528237,1,11.02.2021,18.01.2021,1000,0,,,,,,15.04.2025,11.02.2021,1,2,2021
558601,1,11.10.2021,07.09.2021,30000,0,,,,,,15.04.2025,11.10.2021,1,3,2021
557589,1,10.10.2021,13.07.2021,500,0,,,,,,15.04.2025,10.10.2021,1,2,2021
522970,1,14.01.2021,26.11.2020,8200,0,,,,,,15.04.2025,14.01.2021,1,2,2021
554881,1,11.09.2021,06.08.2021,23000,0,,,,,,15.04.2025,11.09.2021,1,3,2021
583067,1,10.11.2021,06.10.2021,55000,0,,,,,,15.04.2025,10.11.2021,1,2,2021
554157,1,10.09.2021,22.06.2021,25000,0,,,,,,15.04.2025,10.09.2021,1,3,2021
532371,1,10.04.2021,05.01.2021,31450,0,,,,,,15.04.2025,10.04.2021,1,2,2021
581638,1,10.11.2021,07.09.2021,55000,0,,,,,,15.04.2025,10.11.2021,1,2,2021
551838,1,12.08.2021,26.07.2021,8220,0,,,,,,15.04.2025,12.08.2021,1,3,2021
543899,1,10.07.2021,06.05.2021,10000,0,,,,,,15.04.2025,10.07.2021,1,1,2021
527667,1,11.02.2021,18.11.2020,43000,0,,,,,,15.04.2025,11.02.2021,1,4,2021
559109,1,11.10.2021,11.08.2021,10500,0,,,,,,15.04.2025,11.10.2021,1,1,2021
532349,1,10.04.2021,06.02.2021,30000,0,,,,,,15.04.2025,10.04.2021,1,2,2021
554264,1,10.09.2021,30.07.2021,45000,0,,,,,,15.04.2025,10.09.2021,1,3,2021
527261,1,11.02.2021,18.12.2020,8721,0,,,,,,15.04.2025,11.02.2021,1,2,2021
533122,1,10.04.2021,04.01.2021,1650,0,,,,,,15.04.2025,10.04.2021,1,2,2021
581796,1,10.11.2021,16.09.2021,164709.8,0,,,,,,15.04.2025,10.11.2021,1,2,2021
530451,1,10.03.2021,31.01.2021,140000,0,,,,,,15.04.2025,10.03.2021,1,2,2021
522578,1,13.01.2021,12.11.2020,27000,0,,,,,,15.04.2025,13.01.2021,1,3,2021
552924,3,10.09.2021,21.06.2021,69250.5,0,,,,,,15.04.2025,10.09.2021,1,3,2021
554434,1,10.09.2021,05.07.2021,8766,0,,,,,,15.04.2025,10.09.2021,1,3,2021
559022,1,11.10.2021,09.09.2021,100000,0,,,,,,15.04.2025,11.10.2021,1,2,2021
543844,1,10.07.2021,06.05.2021,140000,0,,,,,,15.04.2025,10.07.2021,1,2,2021
629314,1,10.12.2021,10.04.2021,4437,0,,,,,,15.04.2025,10.12.2021,1,2,2021
540992,1,10.06.2021,29.04.2021,156000,0,,,,,,15.04.2025,10.06.2021,1,2,2021
540041,1,10.06.2021,25.03.2021,75000,0,,,,,,15.04.2025,10.06.2021,1,4,2021
582698,1,10.11.2021,22.07.2021,179900,0,,,,,,15.04.2025,10.11.2021,1,4,2021
549454,1,10.08.2021,21.06.2021,80000,0,,,,,,15.04.2025,10.08.2021,1,2,2021
628825,1,10.12.2021,25.10.2021,72000,0,,,,,,15.04.2025,10.12.2021,1,2,2021
555537,1,11.09.2021,19.08.2021,140000,0,,,,,,15.04.2025,11.09.2021,1,2,2021
537398,1,11.05.2021,28.12.2020,55000,0,,,,,,15.04.2025,11.05.2021,1,2,2021
546718,1,11.07.2021,02.06.2021,4000,0,,,,,,15.04.2025,11.07.2021,1,2,2021
553179,1,10.09.2021,06.07.2021,72000,0,,,,,,15.04.2025,10.09.2021,1,3,2021
540359,1,10.06.2021,28.03.2021,79000,0,,,,,,15.04.2025,10.06.2021,1,2,2021
553338,1,10.09.2021,21.07.2021,33000,0,,,,,,15.04.2025,10.09.2021,1,2,2021
630394,1,11.12.2021,12.11.2021,1000,0,,,,,,15.04.2025,11.12.2021,1,3,2021
540038,1,10.06.2021,16.04.2021,191828,0,,,,,,15.04.2025,10.06.2021,1,2,2021
525522,1,10.02.2021,02.11.2020,4500,0,,,,,,15.04.2025,10.02.2021,1,2,2021
582556,1,10.11.2021,27.05.2021,3700,0,,,,,,15.04.2025,10.11.2021,1,2,2021
584260,1,11.11.2021,12.08.2021,3360,0,,,,,,15.04.2025,11.11.2021,1,2,2021
526106,1,10.02.2021,22.12.2020,45000,0,,,,,,15.04.2025,10.02.2021,1,3,2021
558698,3,11.10.2021,08.07.2021,10000,0,,,,,,15.04.2025,11.10.2021,1,3,2021
535426,1,10.05.2021,14.02.2021,264000,0,,,,,,15.04.2025,10.05.2021,1,2,2021
532699,1,10.04.2021,19.02.2021,40000,0,,,,,,15.04.2025,10.04.2021,1,2,2021
582954,1,10.11.2021,28.09.2021,80000,0,,,,,,15.04.2025,10.11.2021,1,2,2021
550753,1,11.08.2021,14.05.2021,6000,0,,,,,,15.04.2025,11.08.2021,1,2,2021
533828,1,11.04.2021,17.02.2021,3000,0,,,,,,15.04.2025,11.04.2021,1,1,2021
542393,1,11.06.2021,04.05.2021,2800,0,,,,,,15.04.2025,11.06.2021,1,1,2021
527256,1,11.02.2021,29.12.2020,40050,0,,,,,,15.04.2025,11.02.2021,1,2,2021
551134,1,11.08.2021,12.07.2021,200000,0,,,,,,15.04.2025,11.08.2021,1,2,2021
583867,1,11.11.2021,12.10.2021,137250,0,,,,,,15.04.2025,11.11.2021,1,2,2021
547060,1,11.07.2021,10.06.2021,86680,0,,,,,,15.04.2025,11.07.2021,1,2,2021
544540,1,10.07.2021,07.07.2020,30130,0,,,,,,15.04.2025,10.07.2021,1,2,2021
535748,1,10.05.2021,17.03.2021,120000,0,,,,,,15.04.2025,10.05.2021,1,2,2021
547645,1,15.07.2021,14.10.2020,150000,1,5,,,PREDAJA NEPREMIČNINE 2.4.2021,,15.07.2021,15.07.2021,1,5,2021
538114,1,11.05.2021,15.04.2021,42600,0,,,,,,15.04.2025,11.05.2021,1,2,2021
629932,1,10.12.2021,10.11.2021,145000,0,,,,,,15.04.2025,10.12.2021,1,2,2021
526771,1,10.02.2021,06.01.2021,143000,0,,,,,,15.04.2025,10.02.2021,1,2,2021
557037,1,10.10.2021,24.07.2021,2000,0,,,,,,15.04.2025,10.10.2021,1,2,2021
550185,1,11.08.2021,02.06.2021,1000,0,,,,,,15.04.2025,11.08.2021,1,1,2021
523279,1,14.01.2021,25.11.2020,260000,0,,,,,,15.04.2025,14.01.2021,1,2,2021
525842,1,10.02.2021,14.12.2020,100000,0,,,,,,15.04.2025,10.02.2021,1,4,2021
557780,1,10.10.2021,02.07.2021,2000,0,,,,,,15.04.2025,10.10.2021,1,1,2021
583780,1,11.11.2021,15.10.2021,62000,0,,,,,,15.04.2025,11.11.2021,1,2,2021
553695,1,10.09.2021,19.07.2021,80000,0,,,,,,15.04.2025,10.09.2021,1,2,2021
559036,1,11.10.2021,03.09.2021,200000,0,,,,,,15.04.2025,11.10.2021,1,2,2021
543908,1,10.07.2021,05.05.2021,56948,0,,,,,,15.04.2025,10.07.2021,1,2,2021
544755,1,10.07.2021,13.05.2021,22011.6,0,,,,,,15.04.2025,10.07.2021,1,1,2021
554494,1,10.09.2021,21.07.2021,6120,0,,,,,,15.04.2025,10.09.2021,1,3,2021
